Date,close_price,Returns,State,State_name,Portfolio
2023-01-03,124.2163,,-1,Bear,0
2023-01-04,125.4975,0.010314266324145782,1,Bull,0
2023-01-05,124.1666,-0.010604992131317381,-1,Bear,0
2023-01-06,128.7352,0.03679411371496033,1,Bull,0
2023-01-09,129.2616,0.0040890137274032234,0,Flat,0
2023-01-10,129.8377,0.0044568533887869854,0,Flat,0
2023-01-11,132.5788,0.02111174181304798,1,Bull,1
2023-01-12,132.4994,-0.0005988891134931507,0,Flat,1
2023-01-13,133.8402,0.010119291106223782,1,Bull,2
2023-01-17,135.0121,0.008755964202085798,0,Flat,2
2023-01-18,134.2871,-0.005369889069201883,0,Flat,2
2023-01-19,134.3467,0.0004438252073355464,0,Flat,2
2023-01-20,136.9289,0.019220420002873162,1,Bull,3
2023-01-23,140.1468,0.02350051742181547,1,Bull,3
2023-01-24,141.5571,0.010063019633698156,1,Bull,3
2023-01-25,140.8917,-0.004700576657758693,0,Flat,3
2023-01-26,142.9774,0.014803568982417081,1,Bull,4
2023-01-27,144.9339,0.0136839808249416,1,Bull,4
2023-01-30,142.0239,-0.020078118369822318,-1,Bear,4
2023-01-31,143.3051,0.009021016885186306,0,Flat,4
2023-02-01,144.4373,0.007900626007029565,0,Flat,4
2023-02-02,149.7905,0.03706244855033991,1,Bull,5
2023-02-03,153.4454,0.02440007877669137,1,Bull,5
2023-02-06,150.6943,-0.017928852868838052,-1,Bear,5
2023-02-07,153.5944,0.01924492167255165,1,Bull,5
2023-02-08,150.883,-0.017652987348497073,-1,Bear,5
2023-02-09,149.8402,-0.006911315390070505,0,Flat,5
2023-02-10,150.2082,0.0024559497384546436,0,Flat,5
2023-02-13,153.0332,0.01880722889962061,1,Bull,6
2023-02-14,152.3866,-0.004225226944218674,0,Flat,6
2023-02-15,154.5053,0.013903453453256498,1,Bull,7
2023-02-16,152.8939,-0.010429415689947263,-1,Bear,7
2023-02-17,151.7401,-0.007546409634393458,0,Flat,7
2023-02-21,147.6917,-0.026679829524298593,-1,Bear,6
2023-02-22,148.1194,0.002895897332077624,0,Flat,6
2023-02-23,148.6068,0.0032905885387057854,0,Flat,6
2023-02-24,145.9311,-0.01800523260039244,-1,Bear,5
2023-02-27,147.1346,0.008247042611204902,0,Flat,5
2023-02-28,146.6273,-0.0034478633849550633,0,Flat,5
2023-03-01,144.5385,-0.01424564184159427,-1,Bear,4
2023-03-02,145.1353,0.004129003691058175,0,Flat,4
2023-03-03,150.2281,0.03509001600575479,1,Bull,5
2023-03-06,153.0133,0.018539807133285846,1,Bull,5
2023-03-07,150.7951,-0.014496779038162044,-1,Bear,5
2023-03-08,152.0584,0.00837759317113096,0,Flat,5
2023-03-09,149.7905,-0.014914664365796249,-1,Bear,4
2023-03-10,147.7116,-0.013878717275127572,-1,Bear,4
2023-03-13,149.6711,0.013265715082633855,1,Bull,4
2023-03-14,151.7798,0.014088892244394469,1,Bull,4
2023-03-15,152.1777,0.002621560971881598,0,Flat,4
2023-03-16,155.0225,0.018693934788080124,1,Bull,5
2023-03-17,154.177,-0.00545404699317853,0,Flat,5
